HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492MTB,50926,937,1350,WMS,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PROBOOK 640 G2,COMPUTER LAPTOP,MXL7040XJS,51403,937,1350,WMS,22-Jan
DELL,5400,COMPUTER LAPTOP,GRF4L33,52659,937,1350,SVB,22-Apr
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492S8P,51051,937,1373,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492S97,51113,937,1373,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F9B,51763,937,1374,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,H595C93,52800,937,1374,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,2UA73723KB,51834,937,1375,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,4J85C93,52943,937,1375,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492RGW,51011,937,1376,CJH,22-Jan
DELL,5400,COMPUTER LAPTOP,JR9FL33,52672,937,1376,SVB,22-Apr
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492S7Z,50986,937,1378,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL64933MF,51137,937,1379,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,71L5C93,52741,937,1379,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7B,51769,937,1380,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,52D5C93,52879,937,1380,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL64933PP,51158,937,1382,SVB,22-Mar
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,22D5C93,52908,937,1382,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492S6R,51022,937,1384,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL64933PY,51152,937,1386,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,9K85C93,52828,937,1386,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7242MYC,51746,937,1387,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7P,51762,937,1388,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7M,51787,937,1389,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7D,51794,937,1391,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492XFR,51130,937,1393,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,2UA73723JZ,51886,937,1394,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7242MXR,51779,937,1396,SVB,22-Apr
HEWLETT-PACKARD CO (COMPUTERS),PROBOOK 640 G2,COMPUTER LAPTOP,MXL7040XHQ,51492,937,1398,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492RKY,50968,937,1400,NRH,21-Nov
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,2UA6512Y74,51172,937,1400,NRH,21-Nov
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492XC6,51098,937,1401,CJH,21-Nov
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7F,51893,937,1401,CJH,21-Nov
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492MQ3,50931,937,1402,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,FC85C93,52890,937,1403,NRH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7242MXW ,51755,937,1404,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,2UA73723JX,51864,937,1405,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,2UA73723JY,51844,937,1409,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PROBOOK 640 G2,COMPUTER LAPTOP,MXL70411SC,51420,937,1411,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492XJX,51073,937,1412,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492S64,50993,937,1413,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,2UA73723K4,51833,937,1414,NRH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,GF85C93,52744,937,1414,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492RDN,51013,937,1417,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),,HP PRODESK 600 G3 SFF DELL,MXL7241FCS,51964,937,1417,CJH,21-Nov
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492XFP,51091,937,1418,CJH,21-Nov
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,HML5C93,52747,937,1418,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492SBY,51103,937,1420,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PROBOOK 640 G2,COMPUTER LAPTOP,MXL7040XK4,51402,937,1420,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492XDQ,51064,937,1421,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL6492MR3,50945,937,1422,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 400 G3,COMPUTER PERSONAL DESKTOP,MXL64933N5,51079,937,1423,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F80,51788,937,1425,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F7S,51811,937,1427,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F79,51751,937,1428,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7242MVY,51774,937,1429,CJH,22-Jan
HEWLETT-PACKARD CO (COMPUTERS),PRODESK 600 G3,HP PRODESK 600 G3 SFF DELL,MXL7241F8D,51820,937,1429,CJH,22-Jan
DELL INC,LATITUDE XCTOG,COMPUTER PERSONAL LAPTOP,B195C93,52892,937,1431,SVB,22-Apr
HEWLETT PACKARD,,HP PRODESK 600 G3 SFF DELL,MXL7281LLH,51933,937,1433,CJH,22-Jan
